rtp1-ucs-fab1-slb1a
rtp1-ucs-fab1-slb2a
rtp1-ucs-fab1-slb3a
rtp1-ucs-fab1-slb4a
rtp1-ucs-fab1-slb5a
rtp1-ucs-fab1-slb6a
rtp1-ucs-fab1-slb7a
rtp1-ucs-fab1-slb8a
rtp1-ucs-fab2-slb1a
rtp1-ucs-fab2-slb2a
rtp1-ucs-fab2-slb3a
rtp1-ucs-fab2-slb4a
rtp1-ucs-fab2-slb5a
rtp1-ucs-fab2-slb6a
rtp1-ucs-fab2-slb7a
rtp1-ucs-fab2-slb8a
rcdn9-ucs-fab1-slb1a
rcdn9-ucs-fab1-slb2a
rcdn9-ucs-fab1-slb3a
rcdn9-ucs-fab1-slb4a
rcdn9-ucs-fab1-slb5a
rcdn9-ucs-fab1-slb6a
rcdn9-ucs-fab1-slb7a
rcdn9-ucs-fab1-slb8a
alln01-ucs-fab1-slb1a
alln01-ucs-fab1-slb2a
alln01-ucs-fab1-slb3a
alln01-ucs-fab1-slb4a
alln01-ucs-fab1-slb5a
alln01-ucs-fab1-slb6a
alln01-ucs-fab1-slb7a
alln01-ucs-fab1-slb8a
rtp1-ucs-fab1-slb1b
rtp1-ucs-fab1-slb2b
rtp1-ucs-fab1-slb3b
rtp1-ucs-fab1-slb4b
rtp1-ucs-fab1-slb5b
rtp1-ucs-fab1-slb6b
rtp1-ucs-fab1-slb7b
rtp1-ucs-fab1-slb8b
rtp1-ucs-fab2-slb1b
rtp1-ucs-fab2-slb2b
rtp1-ucs-fab2-slb3b
rtp1-ucs-fab2-slb4b
rtp1-ucs-fab2-slb5b
rtp1-ucs-fab2-slb6b
rtp1-ucs-fab2-slb7b
rtp1-ucs-fab2-slb8b
rcdn9-ucs-fab1-slb1b
rcdn9-ucs-fab1-slb2b
rcdn9-ucs-fab1-slb3b
rcdn9-ucs-fab1-slb4b
rcdn9-ucs-fab1-slb5b
rcdn9-ucs-fab1-slb6b
rcdn9-ucs-fab1-slb7b
rcdn9-ucs-fab1-slb8b
alln01-ucs-fab1-slb1b
alln01-ucs-fab1-slb2b
alln01-ucs-fab1-slb3b
alln01-ucs-fab1-slb4b
alln01-ucs-fab1-slb5b
alln01-ucs-fab1-slb6b
alln01-ucs-fab1-slb7b
alln01-ucs-fab1-slb8b
